Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Price
Chevrolet,2021,White,Other,Rear-wheel Drive,Gasoline,4.3,V6,12.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,28884.0,41900.0
Jeep,2023,Metallic,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,6187.0,51998.0
Honda,2017,Metallic,Silver/Gray,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,26.0,22.5,89265.0,27787.0
Mercedes-Benz,2003,Silver/Gray,Other,Rear-wheel Drive,Gasoline,5.0,V8,24.0,At least 1 accident or damage reported,Yes,Yes,15.0,22.0,18.5,37855.0,16989.0
Nissan,2021,Metallic,Black,Four-wheel Drive,Gasoline,5.6,V8,32.0,None reported,Yes,Yes,15.0,20.0,17.5,13860.0,49950.0
Ford,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,28.0,24.5,6336.0,31266.0
Toyota,2006,Blue,Other,Front-wheel Drive,Gasoline,3.3,V6,24.0,None reported,Yes,Yes,19.0,25.0,22.0,74536.0,11699.0
Genesis,2022,Red,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,25.0,22.0,24593.0,53821.0
Ford,2019,White,Black,Rear-wheel Drive,Gasoline,5.2,V8,32.0,None reported,Yes,No,14.0,21.0,17.5,27700.0,62999.0
GMC,2012,Red,Black,Four-wheel Drive,Gasoline,3.7,I5,20.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,65717.0,18998.0
Dodge,2014,Black,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,At least 1 accident or damage reported,Yes,No,21.0,30.0,25.5,94767.0,8988.0
Toyota,2019,Black,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,22.0,32.0,27.0,46610.0,29921.0
Buick,2022,Metallic,Black,All-wheel Drive,Gasoline,1.3,I3,12.0,None reported,Yes,Yes,26.0,29.0,27.5,13400.0,26799.0
Chevrolet,2021,Black,Black,All-wheel Drive,Gasoline,1.3,I3,12.0,None reported,Yes,Yes,26.0,30.0,28.0,46501.0,26988.0
Volkswagen,2012,Silver/Gray,Silver/Gray,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,21.0,31.0,26.0,126467.0,11997.0
Dodge,2015,Blue,Black,Rear-wheel Drive,Gasoline,8.4,V10,20.0,None reported,No,No,12.0,21.0,16.5,10241.0,149500.0
Cadillac,2020,Metallic,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,17.0,24.0,20.5,44898.0,43888.0
Ford,2021,Silver/Gray,Black,Rear-wheel Drive,Gasoline,2.3,I4,16.0,None reported,Yes,Yes,21.0,26.0,23.5,36046.0,25998.0
GMC,2005,Blue,Silver/Gray,Rear-wheel Drive,Gasoline,3.5,I5,20.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,122085.0,9995.0
Mercedes-Benz,2021,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,29.0,25.5,17944.0,45000.0
Audi,2021,Black,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,18.0,23.0,20.5,25521.0,54000.0
Acura,2022,Silver/Gray,Red,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,17.0,21.0,19.0,32280.0,61987.0
Cadillac,2015,Silver/Gray,Other,Rear-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,18.0,29.0,23.5,74502.0,20495.0
RAM,2019,Silver/Gray,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,102612.0,30555.0
Kia,2022,Other,Black,All-wheel Drive,Hybrid,1.6,I4,16.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,22875.0,46411.0
Audi,2018,White,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,20.0,28.0,24.0,37904.0,27999.0
Land Rover,2017,White,Black,Four-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.0,25.0,22.5,85661.0,20995.0
Lexus,2019,Other,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,19.0,27.0,23.0,35898.0,36799.0
BMW,2018,Silver/Gray,Black,Rear-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,40020.0,25933.0
Toyota,2018,Silver/Gray,Other,Front-wheel Drive,Hybrid,2.5,I4,16.0,At least 1 accident or damage reported,No,No,51.0,53.0,52.0,89300.0,22491.0
Kia,2022,White,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,26.0,22.5,36724.0,44988.0
INFINITI,2017,Blue,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,No,No,20.0,27.23954849498328,23.61977424749164,68654.0,26000.0
Lincoln,2021,White,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,17.0,24.0,20.5,17230.0,61900.0
Toyota,2014,Other,Silver/Gray,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,21.0,31.0,26.0,56979.0,19640.0
Chevrolet,2005,White,Other,Four-wheel Drive,Diesel,6.6,V8,32.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,68827.0,25995.0
Toyota,2011,Other,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.0,29.0,24.5,120645.0,12992.0
Ford,2020,Silver/Gray,Black,Front-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,30415.0,25897.0
Chevrolet,2021,White,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,14.0,19.0,16.5,78337.0,62997.0
Lexus,2008,White,Silver/Gray,All-wheel Drive,Hybrid,3.3,V6,24.0,None reported,Yes,Yes,26.0,24.0,25.0,40449.0,19999.0
BMW,2021,White,Red,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,No,Yes,22.0,31.0,26.5,15332.0,52994.0
Ford,2018,White,Other,Front-wheel Drive,Hybrid,2.0,I4,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,7513.0,24500.0
Jaguar,2017,Black,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,20.0,28.0,24.0,56221.0,23900.0
Toyota,2018,Red,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,21.0,30.0,25.5,46296.0,25173.0
Jaguar,2014,Black,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,19.0,27.0,23.0,45484.0,30910.0
Toyota,2023,Other,Black,Four-wheel Drive,Gasoline,4.0,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,236.0,59998.0
Chevrolet,2015,White,Other,Rear-wheel Drive,Gasoline,4.8,V8,16.0,None reported,No,No,11.0,17.0,14.0,62832.0,27413.0
BMW,2019,Black,Other,Rear-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,No,Yes,17.0,23.0,20.0,54098.0,56900.0
Mercedes-Benz,2021,Black,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,22.0,28.0,25.0,13704.0,69997.0
Toyota,2016,Silver/Gray,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,21.0,30.0,25.5,83152.0,19730.0
Buick,2019,Metallic,Other,Front-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,18.0,26.0,22.0,36254.0,31458.0
Hummer,2007,Metallic,Black,Four-wheel Drive,Gasoline,6.0,V8,16.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,68371.0,29000.0
Lincoln,2021,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,20.0,25.0,22.5,21394.0,44487.0
Ford,2014,White,Other,Four-wheel Drive,E85 Flex Fuel,5.4,V8,24.0,None reported,Yes,No,13.0,18.0,15.5,59452.0,17964.0
Buick,2017,Black,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,15.0,22.0,18.5,98772.0,19344.0
INFINITI,2022,Silver/Gray,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,14120.0,41800.0
Nissan,2019,Black,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.0,30.0,25.0,71341.0,22970.0
Volkswagen,2017,White,Other,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,17.0,23.0,20.0,56225.0,24792.0
Toyota,2019,Other,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,22.0,31.0,26.5,64902.0,28932.0
Chrysler,2017,Metallic,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,18.0,27.0,22.5,89745.0,18490.0
Ford,2011,Silver/Gray,Black,Four-wheel Drive,Diesel,6.7,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,185833.0,26988.0
Plymouth,1999,Metallic,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,17.0,23.0,20.0,30116.0,28698.0
Ford,2021,Black,Other,Rear-wheel Drive,Gasoline,2.3,I4,16.0,None reported,Yes,Yes,21.0,26.0,23.5,13157.0,34990.0
Ford,2014,Red,Other,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,128410.0,17984.0
Buick,2017,White,Other,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,21.0,31.0,26.0,27775.0,22346.0
Cadillac,2011,Silver/Gray,Other,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,21081.0,63995.0
Cadillac,2019,White,Black,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,14.0,21.0,17.5,44749.0,74990.0
Chevrolet,2020,White,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,17.0,24.0,20.5,28261.0,29799.0
Chevrolet,2022,Metallic,Black,Rear-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,20458.0,67443.0
GMC,2023,White,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,304.0,103995.0
Cadillac,2022,Black,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,26840.0,105000.0
Toyota,2021,Blue,Other,Front-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,No,44.0,47.0,45.5,33091.0,31955.0
Ford,2021,Other,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,17.0,23.0,20.0,14494.0,55500.0
Ford,2022,White,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,16.0,22.0,19.0,16480.0,65990.0
Ford,2016,Black,Silver/Gray,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,15.0,20.0,17.5,129692.0,23000.0
Lexus,2021,Other,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,22.0,28.0,25.0,48733.0,34581.0
Dodge,2010,Black,Silver/Gray,Front-wheel Drive,Gasoline,2.4,I4,16.0,At least 1 accident or damage reported,No,Yes,23.0,29.0,26.0,136276.0,4997.0
Ford,2016,Red,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,18.0,27.0,22.5,46250.0,20890.0
Kia,2020,Black,Other,Front-wheel Drive,Hybrid,1.6,I4,16.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,38151.0,25988.0
Nissan,2013,White,Other,Front-wheel Drive,Gasoline,2.5,I4,16.0,At least 1 accident or damage reported,No,Yes,27.0,38.0,32.5,96154.0,12000.0
Hyundai,2019,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.6,I4,16.0,None reported,No,No,28.0,38.0,33.0,85001.0,15308.0
Audi,2016,White,Black,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,No,Yes,17.0,27.0,22.0,77203.0,34661.0
BMW,2021,Silver/Gray,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,25.0,33.0,29.0,41719.0,34980.0
Land Rover,2007,White,Brown,Four-wheel Drive,Gasoline,4.4,V8,32.0,None reported,No,Yes,14.0,20.0,17.0,159946.0,7799.0
Honda,2020,Other,Silver/Gray,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,24.0,21.5,35765.0,35900.0
Honda,2011,Metallic,Other,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,20.0,25.0,22.5,97702.0,16999.0
Kia,2018,Other,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,23.0,32.0,27.5,37419.0,19345.0
Audi,2014,White,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,20.0,29.0,24.5,106689.0,15995.0
Toyota,2016,Other,Other,All-wheel Drive,Hybrid,3.5,V6,24.0,None reported,Yes,Yes,27.0,28.0,27.5,113889.0,26989.0
Honda,2020,Metallic,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,24.0,21.5,33633.0,30493.0
Honda,2015,Silver/Gray,Other,Front-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,50.0,45.0,47.5,75996.0,18500.0
Maserati,2016,Other,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,Yes,No,16.0,24.0,20.0,25461.0,31900.0
Toyota,2014,Black,Silver/Gray,Four-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,No,13.0,17.0,15.0,94041.0,29997.0
Volkswagen,2013,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,22.0,30.0,26.0,38437.0,20950.0
Lexus,2022,White,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,2065.0,142815.0
Toyota,2021,Silver/Gray,Other,All-wheel Drive,Hybrid,2.5,I4,16.0,At least 1 accident or damage reported,Yes,Yes,40.0,37.0,38.5,45682.0,30000.0
Ford,2020,Silver/Gray,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,16.0,21.0,18.5,40639.0,51495.0
Mercedes-Benz,2020,Black,Brown,Rear-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,23.0,32.0,27.5,22921.0,38997.0
Kia,2020,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,29.0,40.0,34.5,34409.0,22998.0
Buick,2019,Blue,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,26269.0,27487.0
Mercedes-Benz,2013,Silver/Gray,Silver/Gray,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,18.0,23.0,20.5,33005.0,20998.0
Audi,2014,Black,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,18.0,28.0,23.0,50804.0,26920.0
RAM,2021,Red,Black,Four-wheel Drive,Gasoline,5.7,V8,16.0,None reported,No,Yes,16.0,23.0,19.5,23060.0,37703.0
BMW,2016,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,23.0,35.0,29.0,99465.0,17599.0
Mercedes-Benz,2021,White,Other,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,31.0,26.5,16749.0,53997.0
Maserati,2013,White,Red,Rear-wheel Drive,Gasoline,4.7,V8,32.0,None reported,Yes,Yes,13.0,20.0,16.5,39120.0,49950.0
Honda,2015,White,Other,All-wheel Drive,Gasoline,2.4,I4,16.0,At least 1 accident or damage reported,Yes,Yes,26.0,33.0,29.5,60266.0,22995.0
Ford,2017,Blue,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,20.0,27.0,23.5,85964.0,19985.0
Volkswagen,2022,Silver/Gray,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,18.0,24.0,21.0,7907.0,39900.0
Toyota,2022,Other,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,6556.0,31551.0
Toyota,2021,Silver/Gray,Black,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,44663.0,50500.0
Cadillac,2020,Black,Black,All-wheel Drive,Gasoline,4.2,V8,32.0,None reported,Yes,Yes,14.0,25.0,19.5,20511.0,74195.0
Cadillac,2013,White,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,26.0,22.0,181747.0,8995.0
Nissan,2020,Blue,Other,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,20.0,27.0,23.5,32180.0,27991.0
Chevrolet,2022,White,Other,Rear-wheel Drive,Gasoline,4.3,V6,12.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,7616.0,42981.0
Nissan,2017,Silver/Gray,Black,Four-wheel Drive,Gasoline,5.6,V8,32.0,None reported,No,Yes,15.0,21.0,18.0,97000.0,28000.0
RAM,2018,White,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,27266.0,44995.0
Acura,2020,Red,Other,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,24.0,34.0,29.0,23615.0,30750.0
Nissan,2019,Black,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,20.0,30.0,25.0,27508.0,22300.0
Volvo,2022,Black,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,25.0,33.0,29.0,30857.0,34991.0
Audi,2022,Silver/Gray,Brown,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,18.0,23.0,20.5,16573.0,66899.0
BMW,2021,White,Other,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,25.0,33.0,29.0,44800.0,36494.0
Mercedes-Benz,2022,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,19.0,25.0,22.0,2829.0,57984.0
Chrysler,2019,Silver/Gray,Black,Rear-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,19.0,30.0,24.5,53699.0,20995.0
Alfa Romeo,2019,Blue,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,22.0,28.0,25.0,24656.0,31499.0
Toyota,2020,Black,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,27.0,31.0,29.0,18982.0,23891.0
Honda,2021,White,Brown,Front-wheel Drive,Hybrid,1.5,I4,16.0,None reported,Yes,Yes,51.0,45.0,48.0,55097.0,27104.0
BMW,2021,White,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,23.0,33.0,28.0,24419.0,32887.0
Audi,2019,Silver/Gray,Black,All-wheel Drive,Gasoline,2.9,V6,24.0,None reported,No,Yes,17.0,26.0,21.5,39396.0,59995.0
Mercedes-Benz,2019,Other,Black,Rear-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,24.0,31.0,27.5,31952.0,47999.0
BMW,2014,Orange,Black,Rear-wheel Drive,Gasoline,4.4,V8,32.0,At least 1 accident or damage reported,No,Yes,14.0,20.0,17.0,81679.0,39995.0
RAM,2017,White,Silver/Gray,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,150339.0,23991.0
Audi,2022,Black,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,21.0,30.0,25.5,2137.0,52995.0
Hyundai,2016,Blue,Silver/Gray,Front-wheel Drive,Hybrid,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,40.0,44.0,42.0,75076.0,12827.0
Genesis,2018,White,Other,Rear-wheel Drive,Gasoline,5.0,V8,32.0,None reported,Yes,Yes,16.0,24.0,20.0,46917.0,35994.0
Chrysler,2020,Metallic,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,Yes,No,19.0,28.0,23.5,94321.0,16499.0
Volkswagen,2013,White,Other,All-wheel Drive,Diesel,3.0,V6,24.0,At least 1 accident or damage reported,No,Yes,20.0,29.0,24.5,102197.0,21992.0
Cadillac,2020,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,24.0,30.0,27.0,26849.0,29298.0
Ford,2022,Blue,Black,Four-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,18.0,24.0,21.0,4094.0,54991.0
Nissan,2015,White,Silver/Gray,Rear-wheel Drive,Gasoline,4.0,V6,24.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,103790.0,21999.0
Ford,2023,Silver/Gray,Black,Rear-wheel Drive,Gasoline,5.0,V8,32.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,172.0,62800.0
Jeep,2017,Silver/Gray,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,18.0,25.0,21.5,86944.0,22995.0
Kia,2022,White,Silver/Gray,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,26.0,22.5,11272.0,35903.0
Chevrolet,2023,White,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,990.0,82995.0
Audi,2019,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,No,23.0,34.0,28.5,38358.0,32090.0
Mercedes-Benz,2018,Silver/Gray,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,No,24.0,37.0,30.5,50779.0,24650.0
Mercedes-Benz,2019,Silver/Gray,Brown,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,15.0,20.0,17.5,15620.0,106167.0
Porsche,2018,Silver/Gray,Other,All-wheel Drive,Hybrid,2.9,V6,24.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,37748.0,77145.0
Porsche,2018,Metallic,Black,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,No,Yes,18.0,23.0,20.5,21491.0,102582.0
Mercedes-Benz,2018,White,Black,Rear-wheel Drive,Gasoline,4.0,V8,32.0,None reported,No,Yes,17.0,23.0,20.0,49086.0,53250.0
Mercedes-Benz,2011,Black,Brown,Rear-wheel Drive,Gasoline,5.5,V8,32.0,None reported,No,No,15.0,22.0,18.5,59310.0,31777.0
Volvo,2013,Black,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,No,Yes,17.0,23.0,20.0,101289.0,15995.0
Kia,2023,Silver/Gray,Red,Front-wheel Drive,Gasoline,1.6,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,12392.0,30994.0
Maserati,2015,Other,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,15.0,24.0,19.5,54009.0,28868.0
Volvo,2022,Silver/Gray,Other,All-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,19824.0,68134.0
GMC,2021,Metallic,Other,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,Yes,15.0,19.0,17.0,47579.0,62900.0
Cadillac,2020,Metallic,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,31.0,26.0,29818.0,39489.0
Mercedes-Benz,2021,Other,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,No,20.0,25.0,22.5,17994.0,84750.0
Mitsubishi,2018,Red,Other,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,No,Yes,23.0,29.0,26.0,57006.0,17995.0
Chevrolet,2018,Other,Black,Front-wheel Drive,Gasoline,1.5,I4,16.0,None reported,No,No,26.0,32.0,29.0,64603.0,22339.0
Lexus,2022,Silver/Gray,Red,All-wheel Drive,Hybrid,3.5,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,20369.0,60795.0
Nissan,2019,White,Silver/Gray,Rear-wheel Drive,Gasoline,4.0,V6,24.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,85631.0,26970.0
GMC,2017,Red,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,Yes,15.0,21.0,18.0,92203.0,33900.0
Chevrolet,2019,Silver/Gray,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,18.0,27.0,22.5,79089.0,29991.0
Mazda,2022,White,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,No,24.0,31.0,27.5,9284.0,30328.0
INFINITI,2023,White,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,10662.0,46999.0
Volkswagen,2017,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,32553.0,23991.0
Mercedes-Benz,2017,White,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,19.0,22.0,20.5,78826.0,31998.0
Toyota,2019,Silver/Gray,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,22.0,32.0,27.0,31387.0,27752.0
Lexus,2017,White,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,21.0,30.0,25.5,21821.0,26998.0
INFINITI,2021,White,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,22.0,28.0,25.0,15110.0,45700.0
Volkswagen,2019,Black,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,25.0,32.0,28.5,70396.0,22491.0
Lexus,2022,Metallic,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,22.0,32.0,27.0,7056.0,49881.0
Honda,2021,Black,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,24.0,21.5,27435.0,35446.0
