Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Price
Jaguar,2011,White,Brown,Rear-wheel Drive,Gasoline,5.0,V8,32.0,None reported,Yes,No,16.0,24.0,20.0,51421.0,23988.0
BMW,2020,Black,White,All-wheel Drive,Gasoline,4.4,V8,32.0,None reported,Yes,Yes,17.0,25.0,21.0,44806.0,53501.0
GMC,2007,Red,Other,Four-wheel Drive,Diesel,6.6,V8,32.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,119101.0,29995.0
BMW,2020,Red,White,All-wheel Drive,Gasoline,4.4,V8,32.0,None reported,Yes,Yes,17.0,25.0,21.0,15851.0,65995.0
Honda,2016,Blue,Silver/Gray,All-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,25.0,31.0,28.0,54703.0,20689.0
Mazda,2018,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,26.0,35.0,30.5,36272.0,24423.0
Mercedes-Benz,2012,Silver/Gray,Black,Rear-wheel Drive,Gasoline,5.5,V8,32.0,None reported,No,Yes,16.0,25.0,20.5,76560.0,32325.0
Jaguar,2013,Silver/Gray,Other,Rear-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,19.0,30.0,24.5,62684.0,15995.0
BMW,2014,Blue,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,No,Yes,20.0,30.0,25.0,29870.0,26995.0
Honda,2021,Metallic,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,24.0,21.5,26278.0,31800.0
Lexus,2022,Black,Red,All-wheel Drive,Hybrid,2.5,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,18178.0,66314.0
Lexus,2021,Silver/Gray,Other,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,26.0,22.5,12361.0,48590.0
Honda,2014,Silver/Gray,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,28.0,23.5,94533.0,16999.0
Mercedes-Benz,2021,White,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,28.0,24.5,28909.0,44990.0
GMC,2017,White,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,17.0,24.0,20.5,151923.0,21794.0
Audi,2020,White,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,17.0,21.0,19.0,31142.0,53998.0
Alfa Romeo,2017,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,23.0,31.0,27.0,51226.0,22997.0
Toyota,2014,White,Black,Rear-wheel Drive,Gasoline,5.7,V8,32.0,None reported,Yes,No,13.0,18.0,15.5,181245.0,23997.0
Cadillac,2016,Black,Black,Rear-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,Yes,17.0,23.0,20.0,56533.0,36977.0
Ford,2007,Orange,Other,Rear-wheel Drive,Gasoline,5.4,V8,32.0,None reported,No,Yes,15.0,21.0,18.0,16750.0,38925.0
Kia,2020,White,Silver/Gray,Front-wheel Drive,Hybrid,1.6,I4,16.0,None reported,No,No,51.0,46.0,48.5,24453.0,26289.0
Maserati,2021,Other,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,17.0,25.0,21.0,28391.0,48499.0
Rolls-Royce,2017,Silver/Gray,Other,Rear-wheel Drive,Gasoline,6.6,V12,48.0,None reported,Yes,No,12.0,19.0,15.5,2600.0,215500.0
Nissan,2016,Black,Silver/Gray,Rear-wheel Drive,Gasoline,4.0,V6,24.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,71216.0,31993.0
Kia,2017,Silver/Gray,Black,All-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,No,21.0,25.0,23.0,47313.0,18894.0
Scion,2012,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.3,I4,16.0,None reported,Yes,No,36.0,37.0,36.5,67267.0,13599.0
Chrysler,2018,Metallic,Black,Front-wheel Drive,E85 Flex Fuel,3.6,V6,24.0,None reported,Yes,Yes,19.0,28.0,23.5,52470.0,28685.0
Nissan,2019,White,Other,Four-wheel Drive,Diesel,5.0,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,51614.0,44000.0
Acura,2022,White,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,No,No,24.0,34.0,29.0,5337.0,30700.0
Audi,2020,Blue,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,24.0,32.0,28.0,34821.0,33800.0
Toyota,2011,Other,Other,Four-wheel Drive,Gasoline,4.0,V6,24.0,None reported,No,No,17.0,22.0,19.5,129304.0,19988.0
Mazda,2019,Silver/Gray,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,No,Yes,24.0,30.0,27.0,50720.0,23000.0
Cadillac,2017,White,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,22.0,31.0,26.5,83675.0,18991.0
Audi,2017,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,No,23.0,27.0,25.0,19735.0,39977.0
Genesis,2019,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,21.0,28.0,24.5,30275.0,30895.0
BMW,2021,Silver/Gray,Black,All-wheel Drive,Gasoline,4.4,V8,32.0,None reported,Yes,Yes,16.0,22.0,19.0,10524.0,74988.0
Mazda,2017,Red,Other,Front-wheel Drive,Gasoline,2.5,I4,16.0,None reported,No,Yes,26.0,35.0,30.5,60919.0,20499.0
Lincoln,2020,Other,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.0,25.0,22.5,21541.0,39300.0
Ford,2008,Silver/Gray,Other,Rear-wheel Drive,E85 Flex Fuel,4.6,V8,16.0,None reported,No,No,15.0,23.0,19.0,87439.0,11990.0
