Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Usage Intensity,Ownership History,Engine Power,Fuel Efficiency,Origin,Gallons Per Year,Price
Lincoln,2017,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,20.0,28.0,24.0,58249.0,8321.285714285714,Bad,32.0,12.0,American,346.7202380952381,19187.0
Cadillac,2022,White,Black,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,2783.0,1391.5,Potential Risk,99.2,3.857445611363794,American,58.182410455715775,109599.0
Chevrolet,2012,White,Other,Rear-wheel Drive,Gasoline,3.7,I5,20.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,53930.0,4494.166666666667,Potential Risk,74.0,6.463827781204195,American,187.9133666233532,17494.0
Ford,2021,Black,Black,Four-wheel Drive,Gasoline,2.7,V6,24.0,None reported,Yes,Yes,16.0,18.0,17.0,4399.0,1466.3333333333333,Good,64.80000000000001,6.296296296296296,American,86.25490196078431,105000.0
FIAT,2017,Black,Other,Rear-wheel Drive,Gasoline,1.4,I4,16.0,At least 1 accident or damage reported,No,Yes,26.0,35.0,30.5,48556.0,6936.571428571428,Bad,22.4,21.78571428571429,European,227.42857142857142,21823.0
Jeep,2022,Metallic,Black,Four-wheel Drive,Gasoline,5.7,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,19584.0,9792.0,Good,91.2,4.19581803341325,American,409.4302286614221,56710.0
Audi,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,2.9,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,28.0,23.0,5285.0,2642.5,Bad,69.6,7.931034482758621,European,114.8913043478261,67962.0
Mercedes-Benz,2021,Blue,Silver/Gray,All-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,Yes,Yes,18.0,23.0,20.5,30531.0,10177.0,Potential Risk,72.0,6.833333333333333,European,496.4390243902439,76599.0
Toyota,2015,Blue,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,18.0,24.0,21.0,89496.0,9944.0,Good,84.0,6.0,Asian,473.52380952380946,23178.0
Honda,2010,White,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,29.0,24.0,189833.0,13559.5,Potential Risk,84.0,6.857142857142857,Asian,564.9791666666666,8000.0
Toyota,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,20.0,27.0,23.5,16737.0,8368.5,Potential Risk,84.0,6.714285714285714,Asian,356.1063829787234,46400.0
Mazda,2021,Silver/Gray,Black,Rear-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,26.0,34.0,30.0,4188.0,1396.0,Good,32.0,15.0,Asian,46.53333333333333,33000.0
Mercedes-Benz,2021,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,22.0,29.0,25.5,27203.0,9067.666666666666,Potential Risk,32.0,12.75,European,355.5947712418301,43250.0
Mazda,2012,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.5,I4,16.0,None reported,Yes,Yes,29.0,35.0,32.0,47565.0,3963.75,Good,24.0,21.333333333333332,Asian,123.8671875,9897.0
